TIME,FLUX,FLUX_ERR,CADENCENO,MOM_CENTR1,MOM_CENTR2,QUALITY
1365.3405664125244,24623.574,19.589323,99278,664.0090421554053,338.8575436092153,0
1365.3419552781652,24636.865,19.591307,99279,664.006472344695,338.8547568982468,0
1365.3433441436882,24617.727,19.591026,99280,664.0075030878091,338.8474556296591,0
1365.3447330093286,24585.3,19.578402,99281,664.0036545602142,338.87078684931856,0
1365.3461218749694,24662.031,19.603376,99282,664.0123786049446,338.86042146707285,0
1365.3475107404938,24598.766,19.580841,99283,664.0074388993052,338.8448039322807,0
1365.3488996061346,24635.855,19.587265,99284,664.0063970950368,338.84712856095905,0
1365.3502884716581,24626.238,19.58737,99285,664.0021327771991,338.86081231942245,0
1365.3516773372985,24609.434,19.584572,99286,664.0076396346387,338.8502704390307,0
1365.353066202822,24629.488,19.583538,99287,664.0000305873218,338.8531205589091,0
1365.3544550684624,24618.324,19.581507,99288,664.0102511457756,338.84328427742395,0
1365.3558439339868,24606.904,19.572039,99289,664.0006273366167,338.8630153347688,0
1365.3572327996276,24614.91,19.590391,99290,664.0075486448405,338.8599525365864,0
1365.3586216651515,24638.504,19.588669,99291,664.014576318591,338.85193007601174,0
1365.360010530675,24576.668,19.564922,99292,663.9974361474344,338.85048122132713,0
1365.3613993963154,24590.385,19.572304,99293,664.0079862457596,338.8520994271836,0
1365.3627882618398,24632.053,19.576284,99294,664.0021902914532,338.866996917401,0
1365.3641771274806,24620.701,19.586636,99295,664.0098762780023,338.85521952913274,0
1365.365565993005,24629.93,19.592396,99296,664.0018888554446,338.8600460569589,0
1365.3669548585285,24631.348,19.58034,99297,664.0152210835885,338.84419184622044,0
1365.3683437240516,24646.428,19.589958,99298,664.0062218513207,338.8611136566406,0
1365.3697325896924,24625.164,19.581995,99299,664.0037308662695,338.85439596045705,0
1365.3711214552168,24646.146,19.584406,99300,664.0073215361729,338.860626281672,0
1365.3725103207407,24653.059,19.584152,99301,664.0075253678481,338.85151651023403,0
1365.3738991863815,24632.906,19.578735,99302,664.0130908629163,338.85853581318304,0
1365.375288051905,24652.111,19.584324,99303,664.0082724615173,338.8451309450462,0
1365.376676917429,24641.81,19.591297,99304,664.0028386946266,338.86085213914487,0
1365.3780657829534,24617.748,19.567429,99305,664.0086035829279,338.8544751257278,0
1365.379454648477,24635.283,19.582468,99306,664.0026200631117,338.85483901122075,0
1365.380843514118,24632.504,19.575861,99307,664.0076836967559,338.85837217597606,0
1365.3822323796426,24647.76,19.57932,99308,664.0168583813672,338.8570555181907,0
1365.383621245166,24620.262,19.575216,99309,663.9987125094028,338.85835425350126,0
1365.38501011069,24652.031,19.577902,99310,664.0074349665888,338.85366990035027,0
1365.3863989762135,24624.57,19.564734,99311,664.0054351584339,338.856043389313,0
1365.387787841738,24621.334,19.571075,99312,664.012440199044,338.85515935788527,0
